Category,Problem,Link
Counting Problems,Collecting Numbers Distribution,https://cses.fi/problemset/task/3157
Counting Problems,Functional Graph Distribution,https://cses.fi/problemset/task/2415
Additional Problems I,Shortest Subsequence,https://cses.fi/problemset/task/1087
Additional Problems I,Distinct Values Sum,https://cses.fi/problemset/task/3150
Additional Problems I,Distinct Values Splits,https://cses.fi/problemset/task/3190
Additional Problems I,Swap Game,https://cses.fi/problemset/task/1670
Additional Problems I,Beautiful Permutation II,https://cses.fi/problemset/task/3175
Additional Problems I,Multiplication Table,https://cses.fi/problemset/task/2422
Additional Problems I,Bubble Sort Rounds I,https://cses.fi/problemset/task/3151
Additional Problems I,Bubble Sort Rounds II,https://cses.fi/problemset/task/3152
Additional Problems I,Nearest Campsites I,https://cses.fi/problemset/task/3306
Additional Problems I,Nearest Campsites II,https://cses.fi/problemset/task/3307
Additional Problems I,Advertisement,https://cses.fi/problemset/task/1142
Additional Problems I,Special Substrings,https://cses.fi/problemset/task/2186
Additional Problems I,Counting LCM Arrays,https://cses.fi/problemset/task/3169
Additional Problems I,Square Subsets,https://cses.fi/problemset/task/3193
Additional Problems I,Subarray Sum Constraints,https://cses.fi/problemset/task/3294
Additional Problems I,Water Containers Moves,https://cses.fi/problemset/task/3213
Additional Problems I,Water Containers Queries,https://cses.fi/problemset/task/3214
Additional Problems I,Stack Weights,https://cses.fi/problemset/task/2425
Additional Problems I,Maximum Average Subarrays,https://cses.fi/problemset/task/3301
Additional Problems I,Subsets with Fixed Average,https://cses.fi/problemset/task/3302
Additional Problems I,Two Array Average,https://cses.fi/problemset/task/3361
Additional Problems I,Pyramid Array,https://cses.fi/problemset/task/1747
Additional Problems I,Permutation Subsequence,https://cses.fi/problemset/task/3404
Additional Problems I,Bit Inversions,https://cses.fi/problemset/task/1188
Additional Problems I,Writing Numbers,https://cses.fi/problemset/task/1086
Additional Problems I,Letter Pair Move Game,https://cses.fi/problemset/task/2427
Additional Problems I,Maximum Building I,https://cses.fi/problemset/task/1147
Additional Problems I,Sorting Methods,https://cses.fi/problemset/task/1162
Additional Problems I,Cyclic Array,https://cses.fi/problemset/task/1191
Additional Problems I,List of Sums,https://cses.fi/problemset/task/2414
Additional Problems II,Bouncing Ball Steps,https://cses.fi/problemset/task/3215
Additional Problems II,Bouncing Ball Cycle,https://cses.fi/problemset/task/3216
Additional Problems II,Knight Moves Queries,https://cses.fi/problemset/task/3218
Additional Problems II,K Subset Sums I,https://cses.fi/problemset/task/3108
Additional Problems II,K Subset Sums II,https://cses.fi/problemset/task/3109
Additional Problems II,Increasing Array II,https://cses.fi/problemset/task/2132
Additional Problems II,Food Division,https://cses.fi/problemset/task/1189
Additional Problems II,Swap Round Sorting,https://cses.fi/problemset/task/1698
